ID,Section ID,Section Name,Section Name Arabic,Attribute ID,Attribute Name,Parameter ID,Parameter Name,Mandate Level,Value Description,PE,CE,SR,PR,PF,Website,Mobile,EServices
16,QGWS-2,Access & Authentication,الوصول والمصادقه,QGWS-2.1,External user registration – Individual,QGWS-2.1.2,Extension,M1,"• The agencies can access the national profile
• The agencies can further add additional registration fields that would be stored in their own LDAP. This will allow for agencies to manage the quality of profile data
",Y,,,,,Y,,
17,QGWS-2,Access & Authentication,الوصول والمصادقه,QGWS-2.2,External user authorization - Business,QGWS-2.2.1,Centralized,M1,EID profile can be used for centralized authorization for each associated smart card,Y,,,,,Y,,
18,QGWS-2,Access & Authentication,الوصول والمصادقه,QGWS-2.2,External user authorization - Business,QGWS-2.2.2,Distributed,M1,For specific organization level use cases (services) the distributed authorization model can be used. This must confirm to SAML based definitions so that the same can easily be centralized later,Y,,,,,Y,,
19,QGWS-2,Access & Authentication,الوصول والمصادقه,QGWS-2.3,External user authentication - Individual (SSO),QGWS-2.3.1,One-level authentication,M1,Using the conventional Username & Password,Y,,,,,Y,,
20,QGWS-2,Access & Authentication,الوصول والمصادقه,QGWS-2.3,External user authentication - Individual (SSO),QGWS-2.3.2,Multi factor authentication,M1,"• Username / Password + SMS OTP
• Username / Password + Softtoken OTP
• Username / Password + Email OTP
• Smartcard
• Fingerprint authentication
",Y,,,,,Y,,
21,QGWS-2,Access & Authentication,الوصول والمصادقه,QGWS-2.3,External user authentication - Individual (SSO),QGWS-2.3.3,Single sign-on,M1,"• The centralized NAS system can share SAML based token to ensure users do not have to log into multiple sites as long as their NAS session is active or logout WS is not initiated across any of the sites.
• Logged in user's name must be displayed in the website or portal.",Y,,,,,Y,,
22,QGWS-3,Layout,نسق,QGWS-3.1,Branding,QGWS-3.1.1,Entity Logo,M2,"• Entity logo must be properly visible at the top of the webpage.
• Logo must be on a clear solid background, in case of using image background behind the logo, contrast ratio must follow WCAG 2.1 standards at all time. Contrast ratio can be measured using this free tool: https://contrast-ratio.com/ 
• Logo position must be at the top right for the Arabic version, and at the top left for the English version.
• Logo must be saved for web (72 DPI) in high quality ‘.png’ or ‘.svg’ formats to retains quality on resizing.
• Logos with state of the Qatar emblem must be calibrated to match Qatar flag colors #8A1538.  
",Y,,,,,Y,,
23,QGWS-3,Layout,نسق,QGWS-3.1,Branding,QGWS-3.1.2,Entity Name,M3,"Entities can display their names next or below the logo in case the name is not showing properly within the logo.


",Y,,,,,Y,,
24,QGWS-3,Layout,نسق,QGWS-3.1,Branding,QGWS-3.1.3,Ornaments and Graphics,M3,"Specific type of ornaments and abstract graphics related to the brand such as Islamic, Qatari, Sportive, etc. can be used to enhance the brand.",Y,,,,,Y,,
25,QGWS-3,Layout,نسق,QGWS-3.1,Branding,QGWS-3.1.4,Icons,M3,"Icons can be used to represent specific sections, titles, etc.; however, text must also be included.",Y,,,,,Y,,
26,QGWS-3,Layout,نسق,QGWS-3.1,Branding,QGWS-3.1.5,Qatar Flag,M1,"• Qatar’s flag must always be first, bigger, and on top of any other flags, e.g. a cultural Qatari-Japanese event website, the Qatari Flag must always be displayed as the primary flag.
• Qatar’s flag colors must always be calibrated, White: #FFFFFF, and Maroon: #8A1538
",Y,,,,,Y,,
27,QGWS-3,Layout ,نسق,QGWS-3.1,Branding,QGWS-3.1.6,Additional Logo(s),M3,"Entities can add additional logo(s) to their page layouts in the footer section such as QDG, MADA, Hukoomi, World Cup 2022, etc.",Y,,,,,Y,,
28,QGWS-3,Layout ,نسق,QGWS-3.1,Branding,QGWS-3.1.3,Sitename,M2,Respective agencies will follow their own brand guideline. ,,,,,,Y,,
29,QGWS-3,Layout ,نسق,QGWS-3.1,Branding,QGWS-3.1.4,Introduction,M3,Respective agencies will follow their own brand guideline. ,,,,,,Y,,
30,QGWS-3,Layout ,نسق,QGWS-3.1,Branding,QGWS-3.1.5,Flag Positioning,M2,Respective agencies will follow their own brand guideline. ,,,,,,Y,,
31,QGWS-3,Layout ,نسق,QGWS-3.1,Branding,QGWS-3.1.6,Qatar Digital Government(QDG) Logo,M2,"Respective agencies should display QDG Logo, and that link should direct to QDG Site. ",,,,,,Y,,
32,QGWS-3,Layout ,نسق,QGWS-3.1,Branding,QGWS-3.1.7,MADA Logo,M2,"Respective agencies should display MADA Logo, and that link should direct to MADA Site. ",,,,,,Y,,
33,QGWS-3,Layout ,نسق,QGWS-3.1,Branding,QGWS-3.1.8,Hukoomi Logo,M2,"Respective agencies should display Hukoomi Logo, and that link should direct to Hukoomi Site. ",,,,,,Y,,
34,QGWS-3,Layout ,نسق,QGWS-3.2,Top Menu,QGWS-3.2.1,Language options,M1,Language switcher must be clearly displayed in the header of all pages.,Y,,,,,Y,,
35,QGWS-3,Layout ,نسق,QGWS-3.2,Top Menu,QGWS-3.2.2,Accessibility Buttons,M1,"Accessibility controls such as Zoom in and out, change colors, etc. must be clearly displayed in the top menu of all pages",Y,,,,,Y,,
36,QGWS-3,Layout ,نسق,QGWS-3.2,Top Menu,QGWS-3.2.3,Login/Register links,M2,"In case the website requires user login, Login & Register links must be clearly displayed in the header of all pages.",Y,,,,,Y,,
37,QGWS-3,Layout ,نسق,QGWS-3.2,Top Menu,QGWS-3.2.4,Social Media Icons,M3,Social Media Icons can be added to the top menu,Y,,,,,Y,,
38,QGWS-3,Layout ,نسق,QGWS-3.3,Site Utilities,QGWS-3.3.1,Contact Us,M2,Contact information and links must be clearly displayed on all pages and within at least the main menu and footer.,Y,,,,,Y,,
39,QGWS-3,Layout ,نسق,QGWS-3.3,Site Utilities,QGWS-3.3.2,Sitemap,M2,"Sitemap link can be either displayed within the header, footer, or both.",Y,,,,,Y,,
40,QGWS-3,Layout ,نسق,QGWS-3.3,Site Utilities,QGWS-3.3.3,Search,M2,"Search must be clearly visible on all pages, e.g. header, footer, carousel, etc. ",Y,,,,,Y,,
41,QGWS-3,Layout ,نسق,QGWS-3.3,Site Utilities,QGWS-3.3.4,Help,M2,"Help / Support links must be clearly visible on all pages, e.g. header, footer, fixed sides, or all.",Y,,,,,Y,,
42,QGWS-3,Layout ,نسق,QGWS-3.3,Site Utilities,QGWS-3.3.5,Print,M2,A print functionality must be clearly visible on all pages and configured to print the core content of the page only.,Y,,,,,Y,,
43,QGWS-3,Layout ,نسق,QGWS-3.3,Site Utilities,QGWS-3.3.6,Scroll to Top,M2,Long scrolling pages must have scroll to top button/link.,Y,,,,,Y,,
44,QGWS-3,Layout ,نسق,QGWS-3.3,Site Utilities,QGWS-3.3.7,Feedback,M2,"Collecting users’ feedbacks help improving the website, thus, feedback widgets/links must be clearly visible on all pages, e.g. header, footer, fixed sides, etc. to encourage users’ engagement.",Y,,,,,Y,,
45,QGWS-3,Layout ,نسق,QGWS-3.4,Navigation,QGWS-3.4.1,Main Menu,M2,"• Main Menu must be identical and clearly visible at the top of all pages.
• Main Menu must be displayed on a clear solid background, in case of using image background behind the menu, contrast ratio must follow WCAG 2.1 standards at all time, contrast ratio can be measured using this free tool: https://contrast-ratio.com/.
• Main Menu must be structured and formed from well-structured HTML elements.
• Assistive technologies must support the full set of navigation elements.
• Menu font-style (size, family, etc.) must be distinguished from the rest of the page text.
• Main menu must be responsive, and humberger menu can only be used on medium size and lower screen resolutions, e.g. M, S, and XS.
• 
• s and Icons are allowed if used to enhance the user-experience.
• Current selected menu item must be clearly distinguished from other items.

",Y,,,,,Y,,
46,QGWS-3,Layout ,نسق,QGWS-3.4,Navigation,QGWS-3.4.2,Secondary Menu,M3,"• Secondary Menu can be displayed horizontally or vertically based on the UI design and must be identical through all pages.
• Secondary Menu must be displayed on a clear solid background, in case of using image background behind the menu, contrast ratio must follow WCAG 2.1 standards at all time, contrast ratio can be measured using this free tool: https://contrast-ratio.com/.
• Main Menu must be structured and formed from well-structured HTML elements.
• Assistive technologies must support the full set of navigation elements.
• Menu font-style (size, family, etc.) must be distinguished from the rest of the page text.
• Secondary menu must be responsive, and humberger menu can only be used on medium size and lower screen resolutions, e.g. M, S, and XS.
• Bullets and Icons are allowed if used to enhance the user-experience.
• Current selected menu item must be clearly distinguished from other items.

",Y,,,,,Y,,
47,QGWS-3,Layout ,نسق,QGWS-3.4,Menu List ,QGWS-3.4.1,Placement of Menu,M2,"The wesbite should have menu that are clear, visible, and responsive",,,,,,Y,,
48,QGWS-3,Layout ,نسق,QGWS-3.5,Carousel,QGWS-3.5.1,Placement of carousel,M2,"In case the website has a carousel, it must be displayed in the header, under the logo and main menu, and before any other content.",Y,,,,,Y,,
49,QGWS-3,Layout ,نسق,QGWS-3.5,Carousel,QGWS-3.5.2,Carousel Size,M3,"Carousel width is recommended to be 100%, and height 50% of the screen height at most.",Y,,,,,Y,,
50,QGWS-3,Layout ,نسق,QGWS-3.5,Carousel,QGWS-3.5.3,Carousel Controls,M2,"Carousel controls (next, previous, etc.) must always be visible, gestures (swipe left and right) must also be registered for small screen sizes such as tablet and mobile views.",Y,,,,,Y,,
51,QGWS-3,Layout ,نسق,QGWS-3.5,Carousel,QGWS-3.5.4,Carousel Text,M2,Carousel text must be short and clearly visible with high contrast ratio against the background image. It is highly recommended to wrap the text in solid colored box. Contrast ratio can be measured using this free tool: https://contrast-ratio.com/.,Y,,,,,Y,,
52,QGWS-3,Layout ,نسق,QGWS-3.5,Carousel,QGWS-3.5.5,Carousel Content,M2,"Carousel are used to display or highlight important messages. Number of messages must not exceed 5, 3 is the recommended number, to preserve the main objective of placing a carousel and maintain the webpage loading time.",Y,,,,,Y,,
53,QGWS-3,Layout ,نسق,QGWS-3.5,Carousel,QGWS-3.5.6,Carousel Animation,M3,It is highly recommended to avoid unnecessary animation to avoid users’ devices crashes. Simple slide or fade transitions are recommended if needed.,Y,,,,,Y,,
54,QGWS-3,Layout ,نسق,QGWS-3.6,Banner,QGWS-3.6.1,Placement of Banners,M3,Banners can be displayed on both home and subpages and should not interfere with the page main content.,Y,,,,,Y,,
55,QGWS-3,Layout ,نسق,QGWS-3.6,Banner,QGWS-3.6.2,Banners Content,M1,"Commercial advertising banners are not permitted on any page housed under government domains (gov.qa), and that include banner adverts provided directly from third parties such as Bing ads, Google display Network, etc.

The use of banner adverts provided by other Qatari government entities is allowed such as World Cup 2022, Expo 2021, etc.

It is acceptable to acknowledge sponsorship on government project/event websites – for example of an exhibition or award – and to provide a link, via text and/or the sponsor’s logo, to the sponsor's website, but these links must not imply that the government endorses a particular product or service, and no personal remuneration of any kind may be derived from resources provided by the government.
",Y,,,,,Y,,
56,QGWS-3,Layout ,نسق,QGWS-3.7,Services Catalog,QGWS-3.7.1,Placement of Services Catalog,M2,"Websites must display the entity/project services within the main menu and on homepage using a widget that allows browsing by audience, type, interest, etc. ",Y,,,,,Y,,
57,QGWS-3,Layout ,نسق,QGWS-3.8,Footer,QGWS-3.8.1,Standard Footer,M2,"There are three major considerations when it comes to determining the website footer design, Content, Structure, and Aesthetics, and must be identical across all the website pages.",Y,,,,,Y,,
58,QGWS-3,Layout ,نسق,QGWS-3.8,Footer,QGWS-3.8.2,Quick Links,M3,Quick links in the footer can help users who scrolled to the bottom of the page but have not yet found what they were looking for. Featured links can also be displayed to promote certain services or pages.,Y,,,,,Y,,
59,QGWS-3,Layout ,نسق,QGWS-3.8,Footer,QGWS-3.8.3,Logo(s),M3,"Entity logo can be displayed again at the footer to increase brand awareness. Other awards, certificates logos can also be added at the footer.",Y,,,,,Y,,
60,QGWS-3,Layout ,نسق,QGWS-3.8,Footer,QGWS-3.8.4,Contact Information,M2,"Contact information such as email, phone, and address must be displayed in the footer. ",Y,,,,,Y,,
61,QGWS-3,Layout ,نسق,QGWS-3.8,Footer,QGWS-3.8.5,Mobile Apps,M3,"If exist, government entities must provide a list of their owned mobile apps and links for both popular platforms (Android, and iOS) in the form of icons.",Y,,,,,Y,,
62,QGWS-3,Layout ,نسق,QGWS-3.8,Footer,QGWS-3.8.6,Social Media Icons,M3,Links to entities social media channels can be added in the footer in the form of icons.,Y,,,,,Y,,
63,QGWS-3,Layout ,نسق,QGWS-3.8,Footer,QGWS-3.8.7,Helpline Number,M2,All government entities must display their respective Helpline / toll free number(s) in the footer. ,Y,,,,,Y,,
64,QGWS-3,Layout ,نسق,QGWS-3.8,Footer,QGWS-3.8.8,Live Chat / Support,M2,"Government entities that provide live chat / support must be clearly visible and fixed at the bottom of the page, and above the footer to avoid interfering with other content.",Y,,,,,Y,,
65,QGWS-3,Layout ,نسق,QGWS-3.8,Footer,QGWS-3.8.9,Disclaimers and Copyrights,M2,All government entities must include links to disclaimers and copyrights in the footer. ,Y,,,,,Y,,
66,QGWS-3,Layout ,نسق,QGWS-3.8,Footer,QGWS-3.8.10,Additional Content,M3,"Additional content such as map, newsletter, working days and hours, sitemap, etc. can be added in the footer, in addition to complimentary graphics and ornaments that complete the website overall design. ",Y,,,,,Y,,
67,QGWS-3,Layout ,نسق,QGWS-3.8,Footer,QGWS-3.8.2,Fat Footer,M2,"Incase the website has a fat footer, it should be in the footer and comprehensive.",,,,,,Y,,
68,QGWS-3,Layout ,نسق,QGWS-3.8,Footer,QGWS-3.8.3,Disclaimer,M2,The website should have a clear and findable disclaimer,,,,,,Y,,
69,QGWS-3,Layout ,نسق,QGWS-3.8,Footer,QGWS-3.8.4,Copyright,M2,The website should have a clear and findable copyright information,,,,,,Y,,
70,QGWS-3,Layout ,نسق,QGWS-3.8,Footer,QGWS-3.8.5,Link to WoG,M2,The website should have a clear and findable link to whould of government websites,,,,,,Y,,
71,QGWS-3,Layout ,نسق,QGWS-3.9,Social Media,QGWS-3.9.1,Social Media Banner,M2,"• Social Media buttons must be clearly visible on all pages, the recommended location is the footer.
• Social Media share button must be configured properly and clearly visible on each content page, the recommended location is directly next to the page print button.
",,,,,,Y,,
72,QGWS-3,Layout ,نسق,QGWS-3.10,Support,QGWS-3.10.1,Link to 109 GCC,M2,The website should have a clear and findable link to Shared services Support center,,,,,,Y,,
73,QGWS-3,Layout ,نسق,QGWS-3.10,Support,QGWS-3.10.2,Placement of Chatbot,M2,"Incase the website provides a chatbot, it should be easily findable, the placement of chatbot should not interfere with other information and services. ",,,,,,Y,,
74,QGWS-3,Layout ,نسق,QGWS-3.10,Support,QGWS-3.10.3,Placement of Chat Support,M2,"Incase the website provides chat support, it should be easily findable, the placement of chatbot should not interfere with other information and services. ",,,,,,Y,,
75,QGWS-4,styles guide,دليل الأنماط المتبعه,QGWS-4.1,Typography,QGWS-4.1.1,Acronyms and abbreviations,M2,Acronyms and abbreviations shall be unique differentiated from rest of the Text. These should follow the Qatar Govt. Website CSS and Style Templates,,,,,,Y,,
76,QGWS-4,styles guide,دليل الأنماط المتبعه,QGWS-4.1,Typography,QGWS-4.1.2,Bullet points,M3,A bulleted list should not be inserted into the middle of a sentence. It should follow the Qatar Govt. Website CSS and Style Templates,,,,,,Y,,
77,QGWS-4,styles guide,دليل الأنماط المتبعه,QGWS-4.1,Typography,QGWS-4.1.1,Page Alignment,M2,"For English pages content must be left aligned, and right aligned for Arabic pages.",Y,,,,,Y,,
78,QGWS-4,styles guide,دليل الأنماط المتبعه,QGWS-4.1,Typography,QGWS-4.1.2,Listings,M3,"Bulleted and numbered lists are easy to scan and to highlight important information. They are great in breaking up content while providing skim-able content, rather than a wall of text.
• Use bulleted lists instead of paragraphs to pull out key ideas.
• Unordered lists are great for providing content that all has the same weight but may not merit a paragraph (ex – a list of capabilities).
• Ordered lists are more for showing importance or instruction. These are also great for breaking up paragraphs and limiting text.
• List items in the logical order for user.
• Limit number of items in a list to 10 (7 is preferable).
• Subdivide long lists into short lists of related items.
• Provide descriptive headings for lists when possible
",Y,,,,,Y,,
79,QGWS-4,styles guide,دليل الأنماط المتبعه,QGWS-4.1,Typography,QGWS-4.1.3,Capitalization,M3,"Do capitalize
• Job titles, but only where it is followed by the name of the person holding the position
• Ministerial titles
• Titles of specific Acts or Bills 
• Buildings
• Place names
• Brand names

Don't capitalize
• Don't capitalize the words public service, government, job description.  
• Acronym for a group of words. 
• Use sentence case for page names, headings and short titles.
",Y,,,,,Y,,
80,QGWS-4,styles guide,دليل الأنماط المتبعه,QGWS-4.1,Typography,QGWS-4.1.4,Text Size & Units,M2,"Websites must conform to the minimum text sizes, as specified below. The default and most recommended body text size in pixels is 16px, based on this value and it will be considered as 100%.

The site navigation must be larger than 120% (optional bold font weight) of the default text value of the page.

The minimum size of text within other sections must be:

Body – 100%
Site utilities – 75%
Section navigation – between 100% and 120%
Section navigation sub-items - 100%
Page options – 75%
Breadcrumbs – 75%
Heading 1 – 160%
Heading 2 – 140%
Heading 3 – 120%
Heading 4 – 100% (different font-family or style than default text)
Last updated date – 75%
Captions – 75%
Footer – 75%.
",Y,,,,,Y,,
81,QGWS-4,styles guide,دليل الأنماط المتبعه,QGWS-4.1,Typography,QGWS-4.1.5,Emphasis - Bold and italics,M3,"• Use of bold letters to be avoided. 
• Block capital letters for emphasis should be avoided.  
• Italics should be used for legislation and regulations.
• Single quotation marks should be used for document titles.",Y,,,,,Y,,
82,QGWS-4,styles guide,دليل الأنماط المتبعه,QGWS-4.1,Typography,QGWS-4.1.6,Address,M3,"•• All addresses should be complete.
• Street and postal addresses should be written with as little punctuation as possible.
• Add Embedded-Map or Map-URLs (Google, Bing, etc.) where possible to facilitate user access to locations
",Y,,,,,Y,,
83,QGWS-4,styles guide,دليل الأنماط المتبعه,QGWS-4.1,Typography,QGWS-4.1.7,Date and Time,M3,"Defined format of Date and Time to be used. The convention should follow:
• DD-MMM-YYYY e.g. 03-Jan-1983
• HH:MM hours (12 hour Format) e.g. 08:00 AM
",Y,,,,,Y,,
84,QGWS-4,styles guide,دليل الأنماط المتبعه,QGWS-4.1,Typography,QGWS-4.1.8,Titles and Headings,M2,"• Page titles must be styled starting from heading 1 <h1> downward.
• Page titles must have a different color and or styling and a contrast ratio of at least 3:1.
",Y,,,,,Y,,
85,QGWS-4,styles guide,دليل الأنماط المتبعه,QGWS-4.1,Typography,QGWS-4.1.9,Links,M2,"• Text buttons should be short and describe the action that it will perform. E.g. Submit, Download, Upload Document, etc.
• Links must have different text color and must be underlined.
• Links to external pages that are not hosted on the same server must be opened in a new Tab “_blank”, and it’s recommended to notify the user that he will be redirected to an external website, portal, etc.
",Y,,,,,Y,,
86,QGWS-4,styles guide,دليل الأنماط المتبعه,QGWS-4.1,Typography,QGWS-4.1.10,Special Instructions,M3,Special instructions should be direct and to the point,,,,,,Y,,
87,QGWS-4,styles guide,دليل الأنماط المتبعه,QGWS-4.1,Typography,QGWS-4.1.10,Numbers and measurements,M3,"• 'To' should be used to indicate range.
• Million and billion should be used for large numbers.
• Always a space should be given between the number and the unit of measure except - per cent and degrees, e.g. 100 m, 45%, 28.
",Y,,,,,Y,,
88,QGWS-4,styles guide,دليل الأنماط المتبعه,QGWS-4.1,Typography,QGWS-4.1.11,Currency,M2,"• Use ‘,’ to separate thousands, add two decimals separated by ‘.’, and place currency symbol before the number e.g. QAR 1,227,000.00",Y,,,,,Y,,
89,QGWS-4,styles guide,دليل الأنماط المتبعه,QGWS-4.1,Typography,QGWS-4.1.14,People and pronouns,M2,"HH (His Highness) the Amir Sheikh Tamim bin Hamad Al Thani,: With the Amir, HH is used. Also, “Amir”, not “Emir” is used.

Standardize the writing style for individuals’ names:
- Title, First Name, Middle Name (If any), Surname for Non Arabic Names
- Example for Arabic Names (Abdulrahman Bin Hamad Al Thani)",,,,,,Y,,
90,QGWS-5,Information Architecture,بنية المعلومات,QGWS-5.1,Navigation,QGWS-5.1.1,Site navigation,M2,"The site navigation bar must be located horizontally below header, and must appear identically on every page including the homepage.

The height of the site navigation must be flexible to allow navigation items to wrap to more than one line when necessary.
",,,,,,Y,,
91,QGWS-5,Information Architecture,بنية المعلومات,QGWS-5.1,Navigation,QGWS-5.1.2,Section navigation,M2,"The section navigation bar must be located vertically on the left hand side of the screen.

The section navigation must be a list of straight text links, an expandable menu or a combination of both depending on the navigation requirements of the site section.

The width of the section navigation must be identical for all sites as defined in the Qatar Govt. Website Template.
",,,,,,Y,,
92,QGWS-5,Information Architecture,بنية المعلومات,QGWS-5.1,Navigation,QGWS-5.1.3,Expandable menus,M2,"Expandable menus must be formed from well-structured HTML.

Assistive technologies must support the full set of navigation elements.
",,,,,,Y,,
93,QGWS-5,Information Architecture,بنية المعلومات,QGWS-5.1,Navigation,QGWS-5.1.4,Skip to content Links,M2,"At a minimum, websites must include ‘Skip to content’, and must be used wherever there needs the utility of skip to contents.",,,,,,Y,,
94,QGWS-5,Information Architecture,بنية المعلومات,QGWS-5.1,Navigation,QGWS-5.1.5,Scroll to top,M2,"For any page with scrolling, there should always be a link to scroll to top.",,,,,,Y,,
95,QGWS-5,Information Architecture,بنية المعلومات,QGWS-5.1,Navigation,QGWS-5.1.1,Main Menu,M2,"• Only most important links/sections must always be displayed in the main menu.
• In case of large number of links, use sub or mega menus to accommodate all links.
• Main menu must be organized, grouped, and segmented per audiences, types, sections, etc.
• A well-organized menu will help users reach desired content with few clicks.
",,Y,,,,Y,,
96,QGWS-5,Information Architecture,بنية المعلومات,QGWS-5.1,Navigation,QGWS-5.1.2,Sub Menus,M2,"Sub Menus are used to help users navigate across different pages within the same section, only links of this particular section can be displayed, in addition to two featured links if needed.",,Y,,,,Y,,
97,QGWS-5,Information Architecture,بنية المعلومات,QGWS-5.1,Navigation,QGWS-5.1.3,Breadcrumb,M2,"• Breadcrumbs must be used on all subpages where more than one level of navigation exist.
• Breadcrumbs must appear at the top of the content and clearly separated from the main and sub navigations. 
• Breadcrumbs must support assistive technologies.
",,Y,,,,Y,,
98,QGWS-5,Information Architecture,بنية المعلومات,QGWS-5.1,Navigation,QGWS-5.1.4,Quick Navigations,M2,"• Back button must be available on all subpages.
• Next and Previous buttons must be available for content-items such as articles, events, etc.
• Other quick navigations can be added to facilitate the navigation for users.
",,Y,,,,Y,,
99,QGWS-5,Information Architecture,بنية المعلومات,QGWS-5.2,Content Structure,QGWS-5.2.1,Page Title,M2,"• Page Titles are very important for both visitors and search engines; thus, they must be clear, concise, and clearly describe the content of the page.
• Page titles should make sense in isolation and allow users to differentiate from other titles in search results.
• It is important to add the name of the entity at the end of the title as most pages name are provided by the majority of entities via their websites, e.g. About Ministry of Interior, About Katara. 
• Search Engines and browsers will cut long titles and add an ellipsis (""..."") which might replace important part of the title. 
• Files need to have sensible names that give an indication of what the document is.
• Title should be short, without symbols.
• Abbreviations and acronyms should be avoided.
• Question as a heading should not be used
",,Y,,,,Y,,
100,QGWS-5,Information Architecture,بنية المعلومات,QGWS-5.2,Content Structure,QGWS-5.2.2,Mandatory Pages,M2,"Content and pages differ from one site to another depending on the website type: informative, services, promotional, etc. yet for government websites, the following pages must be available in the structure: Homepage, About, Mission/Vision/Objectives, Organizational Structure, Latest News, Policies & Standards, Contact, Services/Products/Features list, Open Data, e-Participation, and Careers.

Government micro-sites that have short timespans such as Events, Projects, etc. can be exempted.
",,Y,,,,Y,,
